Timestamp,Do you have a smartphone?,Are you a regular Internet Subscriber?,What Network do you use for your major Internet Subscription?,How often do you Subscribe for Internet,What is the average amount you spend on Internet? e.g 5000,What is your main purpose of Subscribing ,How satisfied with the Internet service ,Suggestions for improvement
8/28/2023 13:01,Yes,Yes,MTN,Weekly,7000,General Purpose,Satisfied,Subscription should be affordable and last longer
8/28/2023 13:05,Yes,Yes,MTN,Monthly,5000,General Purpose,Satisfied,4G network is easily interrupted 
8/28/2023 13:26,Yes,Yes,MTN,Monthly,20000,Personal Use,Satisfied,Cheaper data and More data uptime
8/28/2023 13:26,Yes,Yes,MTN,Monthly,7000,General Purpose,Not Satisfied,Getting better value for subscription at more subsidized rate
8/28/2023 13:26,Yes,Yes,MTN,Monthly,3500,General Purpose,Somewhat Satisfied,Telecom companies should try and improve their internet service so as to help users enjoy their service and work effectively.
8/28/2023 13:46,Yes,Yes,Airtel,Monthly,5000,General Purpose,Somewhat Satisfied,Airtel should improve their services 
8/28/2023 13:57,Yes,Yes,Glo,Weekly,10000,Personal Use,Not Satisfied,Reduce they cost of Internet subscription 
8/28/2023 14:10,Yes,Yes,MTN,Monthly,20000,General Purpose,Satisfied,None 
8/28/2023 14:12,Yes,Yes,MTN,Daily,5000,General Purpose,Very Satisfied,"Warning signs before network just disappear, lost money several times because of lost of network."
8/28/2023 14:34,Yes,Yes,Glo,Monthly,8000,General Purpose,Very Satisfied,Better network 
8/28/2023 15:10,Yes,Yes,MTN,Monthly,10000,Personal Use,Satisfied,Internet Speed 
8/28/2023 16:11,Yes,Yes,Airtel,Monthly,15000,General Purpose,Very Satisfied,Improvement on data consumption 
8/28/2023 17:10,Yes,Yes,MTN,Monthly,15000,General Purpose,Satisfied,They know ways they can improve 
8/28/2023 17:12,Yes,Yes,Glo,Monthly,10000,General Purpose,Satisfied,Reduce cost of data 
8/28/2023 17:15,Yes,Yes,MTN,Weekly,1000,General Purpose,Somewhat Satisfied,Reduce Data consumption 
8/28/2023 17:19,Yes,Yes,Glo,Monthly,3500,General Purpose,Very Satisfied,We need more bonus 
8/28/2023 17:22,Yes,Yes,Airtel,Monthly,3000,General Purpose,Very Satisfied,Keep being good
8/28/2023 17:36,Yes,Yes,MTN,Daily,2000,General Purpose,Satisfied,Broadband should be made cheaper
8/28/2023 17:55,Yes,Yes,Glo,Monthly,3500,General Purpose,Very Satisfied,I need more bonus 
8/28/2023 17:58,Yes,Yes,Glo,Monthly,3000,Work Purpose,Somewhat Satisfied,Subsidize subscription and more mass poles in rural areas to reduce poor network 
8/28/2023 18:04,Yes,Yes,Glo,Monthly,3000,Work Purpose,Satisfied,The internet providers should work on improving their service delivery 
8/28/2023 18:43,Yes,Yes,MTN,Monthly,10000,General Purpose,Satisfied,Patronize the local networks to help improve there services to the bearest minimum.
8/28/2023 18:47,Yes,Yes,MTN,Monthly,6000,Personal Use,Very Satisfied,More value for money 
8/28/2023 18:50,Yes,Yes,MTN,Weekly,30000,General Purpose,Somewhat Satisfied,Nil
8/28/2023 18:51,Yes,Yes,MTN,Weekly,6000,Personal Use,Not Satisfied,Everything 
8/28/2023 18:53,Yes,Yes,MTN,Monthly,4000,General Purpose,Somewhat Satisfied,"There should be an improvement on the data, it doesn't last "
8/28/2023 18:55,Yes,Yes,MTN,Monthly,10000,General Purpose,Very Satisfied,To be more affordable to the general public 
8/28/2023 18:59,Yes,Yes,MTN,Monthly,23500,Work Purpose,Somewhat Satisfied,"MTN needs to do better, their network recently is A MESS. "
8/28/2023 19:03,Yes,Yes,MTN,Weekly,5000,General Purpose,Satisfied,Improve on how the mb gets finished so easily 
8/28/2023 19:56,Yes,Yes,MTN,Weekly,5000,General Purpose,Satisfied,Stable connection 
8/28/2023 20:12,Yes,Yes,MTN,Weekly,1000,General Purpose,Satisfied,"data is borning fast, it should be checked"
8/28/2023 20:14,Yes,Yes,MTN,Weekly,1000,General Purpose,Satisfied,okay
8/28/2023 20:18,Yes,Yes,MTN,Weekly,70000,Personal Use,Not Satisfied,The tarif is too high and should be looked into
8/28/2023 20:44,Yes,Yes,MTN,Daily,1000,Educational Purpose,Very Satisfied,How 
8/28/2023 21:00,Yes,Yes,Airtel,Daily,2000,General Purpose,Satisfied,Data is so expensive 
8/28/2023 21:57,Yes,Yes,MTN,Monthly,6000,Personal Use,Satisfied,Data plan increase 
8/28/2023 23:04,Yes,Yes,MTN,Monthly,6000,General Purpose,Somewhat Satisfied,"Good network at least . If you must charge such a large amount of money , the least you can do is provide a good internet service."
8/28/2023 23:19,Yes,Yes,MTN,Daily,5000,General Purpose,Not Satisfied,Tariff is high 
8/29/2023 1:34,Yes,Yes,Glo,Weekly,1500,Personal Use,Somewhat Satisfied,Improvement in the aspect of data and  poor network sometimes 
8/29/2023 7:43,Yes,Yes,MTN,Monthly,5000,General Purpose,Satisfied,Better internet speed
8/29/2023 8:41,Yes,No,MTN,Monthly,18000,General Purpose,Somewhat Satisfied,"Reduce the number of obscene contents that are posted constantly on the internet.
"
8/29/2023 9:49,Yes,Yes,Airtel,Monthly,6000,General Purpose,Satisfied,Connectivity is great in some places but horrible in others. This massive discrepancy should be looked into.
8/29/2023 9:53,Yes,Yes,Airtel,Monthly,10000,Work Purpose,Satisfied,Nil
8/29/2023 9:56,Yes,Yes,MTN,Weekly,6000,Personal Use,Somewhat Satisfied,Network should be faster and bundle rates less expensive 
8/29/2023 9:57,Yes,Yes,MTN,Weekly,3000,General Purpose,Satisfied,Cheaper and more lasting data plans 
8/29/2023 10:01,Yes,Yes,Airtel,Weekly,5000,General Purpose,Satisfied,The cost is too high for data plans and it doesn’t last 
8/29/2023 10:09,Yes,Yes,MTN,Monthly,5000,Work Purpose,Somewhat Satisfied,Increase intenet speed
8/29/2023 10:19,Yes,Yes,MTN,Monthly,5000,General Purpose,Not Satisfied,Better network 
8/29/2023 10:36,Yes,Yes,MTN,Monthly,6000,General Purpose,Satisfied,I need better internet speed
8/29/2023 10:37,Yes,Yes,MTN,Monthly,8000,General Purpose,Somewhat Satisfied,"Monthly subscriptions should always cover the monthly data usage, there shouldn't be need to resubscribe within same month."
8/29/2023 10:55,Yes,Yes,MTN,Monthly,5000,General Purpose,Very Satisfied,"It is actually really good in my area. The only suggestion i have is expansion of the 5G coverage area, at least in highly populated areas "
8/29/2023 10:56,Yes,Yes,MTN,Monthly,15000,Work Purpose,Very Satisfied,Satisfied 
8/29/2023 11:13,Yes,Yes,MTN,Daily,3500,General Purpose,Satisfied,No suggestions 
8/29/2023 11:19,Yes,Yes,MTN,Daily,20000,Personal Use,Somewhat Satisfied,Should be more affordable 
8/29/2023 11:26,Yes,Yes,MTN,Monthly,6000,General Purpose,Somewhat Satisfied,Service providers can do better.
8/29/2023 12:23,Yes,Yes,MTN,Daily,500,Educational Purpose,Satisfied,Comfirm
8/29/2023 12:24,Yes,Yes,Airtel,Daily,500,General Purpose,Somewhat Satisfied,Better deals
8/29/2023 14:22,Yes,Yes,MTN,Weekly,1000,General Purpose,Somewhat Satisfied,The service providers should be well checkmate and fines as control measures to non-compliance to quality service delivery
8/29/2023 14:54,Yes,Yes,MTN,Monthly,8000,Work Purpose,Satisfied,"Data this days finishes fast, please reduce the exhaustion"
8/29/2023 14:55,Yes,Yes,Airtel,Weekly,30000,Personal Use,Very Satisfied,None
8/29/2023 15:13,Yes,Yes,MTN,Daily,15000,General Purpose,Very Satisfied,Reduce data cost
8/29/2023 17:54,Yes,Yes,9Mobile,Monthly,2500,General Purpose,Somewhat Satisfied,"Fast connection, cheap to buy"
8/29/2023 17:59,Yes,Yes,MTN,Daily,500,General Purpose,Satisfied,"My suggestion is that, MTN supposed to standardised thier Data in term of subscription. Because today's Data isn't lasting and qualitative like before. "
8/29/2023 18:11,Yes,Yes,MTN,Weekly,4000,General Purpose,Satisfied,All good 
8/29/2023 18:11,Yes,Yes,MTN,Weekly,6000,General Purpose,Very Satisfied,Should improve on network and Data durability
8/29/2023 18:32,Yes,Yes,MTN,Monthly,6000,General Purpose,Satisfied,None
8/29/2023 18:39,Yes,Yes,MTN,Monthly,3500,General Purpose,Somewhat Satisfied,Improve network and affordability 
8/29/2023 18:46,Yes,Yes,MTN,Monthly,5000,General Purpose,Satisfied,Increase internet speed
8/29/2023 19:22,Yes,Yes,Airtel,Monthly,6000,General Purpose,Very Satisfied,Mobile data should be made cheaper or last longer 
8/29/2023 19:31,Yes,Yes,MTN,Monthly,5000,General Purpose,Satisfied,Nill
8/29/2023 19:39,Yes,Yes,9Mobile,Weekly,7000,General Purpose,Somewhat Satisfied,Internet speed can be better
